,trackID,ar_cat,start_date,end_date,duration,ivt,hlat,hlon,tlat,tlon,ivtdir,landslideID,landslide_lat,landslide_lon,northwestern,western,eastern,zagros
0,2861.0,1,1979-12-02 00:00:00,1979-12-02 18:00:00,18.0,178.3403590924427,54.0,88.95,33.3,54.75,60.60876266004893,,,,33.10818099975586,19.348968505859375,98.04288482666016,
1,2861.0,2,1979-12-01 12:00:00,1979-12-02 00:00:00,12.0,178.3403590924427,54.0,88.95,33.3,54.75,60.60876266004893,,,,33.10818099975586,19.348968505859375,98.04288482666016,
2,2871.0,1,1979-12-09 06:00:00,1979-12-09 18:00:00,12.0,291.57569522220484,58.85526315789474,137.8421052631579,37.6578947368421,165.78947368421052,61.661943454299056,,,,,,,
3,2871.0,2,1979-12-08 06:00:00,1979-12-09 00:00:00,18.0,291.57569522220484,58.85526315789474,137.8421052631579,37.6578947368421,165.78947368421052,61.661943454299056,,,,27.518327713012695,3.974228858947754,32.87120819091797,
4,2975.0,1,1979-12-16 12:00:00,1979-12-17 00:00:00,12.0,178.76560631543907,40.0,64.0,24.0,58.5,45.69015781210703,,,,11.874306678771973,6.085221290588379,40.99748229980469,
5,2975.0,3,1979-12-17 00:00:00,1979-12-17 06:00:00,6.0,178.76560631543907,40.0,64.0,24.0,58.5,45.69015781210703,,,,11.874306678771973,6.085221290588379,40.99748229980469,
6,2988.0,1,1979-12-21 00:00:00,1979-12-22 12:00:00,36.0,182.03733811196835,33.6,56.8,16.6,45.3,46.96557587315899,,,,24.330224990844727,30.647056579589844,36.20997619628906,13.48443603515625
7,3026.0,1,1979-12-24 06:00:00,1979-12-24 12:00:00,6.0,142.13622121003547,28.5,69.0,19.5,49.5,47.894359306544,,,,,,,
8,3033.0,1,1979-12-24 18:00:00,1979-12-25 00:00:00,6.0,142.81580788739126,25.5,83.5,20.5,56.0,49.05335675958989,,,,1.5508867502212524,18.82661247253418,1.4162265062332153,8.670099258422852
9,3033.0,3,1979-12-25 00:00:00,1979-12-25 12:00:00,12.0,142.81580788739126,25.5,83.5,20.5,56.0,49.05335675958989,,,,1.5508867502212524,18.82661247253418,1.4162265062332153,8.670099258422852
10,3038.0,1,1979-12-28 00:00:00,1979-12-28 18:00:00,18.0,179.7502482462424,30.923076923076923,60.80769230769231,16.846153846153847,42.92307692307692,62.85863484204019,,,,6.596806049346924,7.065340518951416,26.775161743164062,2.40712833404541
11,3038.0,2,1979-12-27 00:00:00,1979-12-28 00:00:00,24.0,179.7502482462424,30.923076923076923,60.80769230769231,16.846153846153847,42.92307692307692,62.85863484204019,,,,8.287704467773438,8.524698257446289,53.35648727416992,17.73871612548828
12,3065.0,1,1979-12-30 12:00:00,1979-12-31 00:00:00,12.0,266.14423022572583,30.5,60.75,22.25,42.25,74.14524362456909,,,,4.049605846405029,46.82966613769531,56.786895751953125,
13,3137.0,1,1980-01-07 18:00:00,1980-01-08 00:00:00,6.0,151.47238652696495,50.85,72.3,37.65,58.2,46.25914597560684,,,,15.73859977722168,6.22897481918335,18.5292911529541,
14,3204.0,1,1980-01-15 00:00:00,1980-01-15 06:00:00,6.0,206.75683358294847,31.5,70.5,24.0,54.0,74.70520685162583,,,,19.602962493896484,18.8829288482666,30.927595138549805,10.915631294250488
15,3223.0,1,1980-01-17 18:00:00,1980-01-18 12:00:00,18.0,181.93672374816927,35.0,65.5,22.0,57.0,62.14926431089353,,,,10.634432792663574,23.80389404296875,25.77655601501465,6.782854080200195
16,3253.0,1,1980-01-24 00:00:00,1980-01-25 00:00:00,24.0,205.4814438682635,35.75,69.25,18.25,35.875,64.77209640192956,,,,43.82866668701172,86.25556182861328,37.15230941772461,50.70949172973633
17,3253.0,2,1980-01-22 06:00:00,1980-01-24 00:00:00,42.0,205.4814438682635,35.75,69.25,18.25,35.875,64.77209640192956,,,,41.16579055786133,30.049907684326172,93.05120849609375,175.23785400390625
18,3281.0,1,1980-01-25 12:00:00,1980-01-25 18:00:00,6.0,166.58802394478343,34.5,73.5,16.5,43.5,71.60823024995356,,,,,,,
19,3401.0,1,1980-02-12 00:00:00,1980-02-13 00:00:00,24.0,223.18919687459504,34.44230769230769,62.94230769230769,16.153846153846153,49.21153846153846,41.75319144714596,,,,58.35299301147461,45.83113479614258,9.232709884643555,28.609832763671875
20,3401.0,2,1980-02-10 12:00:00,1980-02-12 00:00:00,36.0,223.18919687459504,34.44230769230769,62.94230769230769,16.153846153846153,49.21153846153846,41.75319144714596,,,,32.844886779785156,6.105418682098389,22.679122924804688,176.46920776367188
21,3401.0,3,1980-02-13 00:00:00,1980-02-15 00:00:00,48.0,223.18919687459504,34.44230769230769,62.94230769230769,16.153846153846153,49.21153846153846,41.75319144714596,,,,31.613569259643555,74.86274719238281,37.309959411621094,52.08993148803711
22,3465.0,1,1980-02-18 00:00:00,1980-02-19 12:00:00,36.0,232.70436279190417,26.1,67.05,21.9,45.6,68.69928577857087,,,,28.75044822692871,38.66057205200195,75.19935607910156,35.96787643432617
23,3465.0,2,1980-02-17 18:00:00,1980-02-18 00:00:00,6.0,232.70436279190417,26.1,67.05,21.9,45.6,68.69928577857087,,,,3.8260202407836914,19.87989616394043,53.265846252441406,35.92100524902344
24,3486.0,1,1980-02-21 00:00:00,1980-02-21 18:00:00,18.0,221.7116599611805,26.666666666666668,70.16666666666667,17.833333333333332,33.5,72.54395451254805,,,,25.384584426879883,23.59086036682129,17.9541072845459,11.669751167297363
