,trackID,ar_cat,start_date,end_date,duration,ivty,ivtx,ivt,hlat,hlon,tlat,tlon,landslide,landslide_lat,landslide_lon,lightning_northwestern,lightning_western,lightning_eastern,lightning_zagros,northwestern,western,eastern,zagros
0,2861.0,1,1979-12-02 00:00:00,1979-12-02 18:00:00,18.0,84.7158171735839,156.93474440618087,178.3403590924427,54.0,88.95,33.3,54.75,0,0.0,0.0,0.0,0.0,0.0,0.0,12.484913177341308,6.388806509882315,9.069605711030038,
1,2871.0,1,1979-12-09 06:00:00,1979-12-09 18:00:00,12.0,140.45683566838815,255.51568123764045,291.57569522220484,58.85526315789474,137.8421052631579,37.6578947368421,165.78947368421052,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,2975.0,1,1979-12-16 12:00:00,1979-12-17 00:00:00,12.0,123.568144714626,129.1822573464011,178.76560631543907,40.0,64.0,24.0,58.5,0,0.0,0.0,0.0,0.0,0.0,0.0,3.7069313187378627,2.1517233753563736,7.699999169468844,
3,2988.0,1,1979-12-21 00:00:00,1979-12-22 12:00:00,36.0,118.15808747248066,138.4783695446213,182.03733811196835,33.6,56.8,16.6,45.3,0,0.0,0.0,0.0,0.0,0.0,0.0,8.61858143787452,6.5923840782820005,6.743813200967238,4.182564860221816
4,3026.0,1,1979-12-24 06:00:00,1979-12-24 12:00:00,6.0,95.30228831433914,105.45226039264745,142.13622121003547,28.5,69.0,19.5,49.5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5,3033.0,1,1979-12-24 18:00:00,1979-12-25 00:00:00,6.0,93.44696315541124,108.00009286829092,142.81580788739126,25.5,83.5,20.5,56.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2032478864004785,5.558226101515119,1.241012607133727,2.432360886500096
6,3038.0,1,1979-12-28 00:00:00,1979-12-28 18:00:00,18.0,86.5156949871251,157.5601036604143,179.7502482462424,30.923076923076923,60.80769230769231,16.846153846153847,42.92307692307692,0,0.0,0.0,0.0,0.0,0.0,0.0,2.853354612425994,2.202809525842335,3.536737999749434,1.61556119056335
7,3065.0,1,1979-12-30 12:00:00,1979-12-31 00:00:00,12.0,72.85917503368253,255.9771315876779,266.14423022572583,30.5,60.75,22.25,42.25,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9718080827874969,10.398556212216691,10.618272960795682,
8,3137.0,1,1980-01-07 18:00:00,1980-01-08 00:00:00,6.0,103.53177418698576,110.56697343180404,151.47238652696495,50.85,72.3,37.65,58.2,0,0.0,0.0,0.0,0.0,0.0,0.0,5.798283392211456,2.803408478550986,6.731513950691793,
9,3204.0,1,1980-01-15 00:00:00,1980-01-15 06:00:00,6.0,54.5394326179022,199.4337948366935,206.75683358294847,31.5,70.5,24.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.942155042383796,5.571140330687893,4.632831446496993,3.6336459902132408
10,3223.0,1,1980-01-17 18:00:00,1980-01-18 12:00:00,18.0,82.45157512292744,162.1811000331602,181.93672374816927,35.0,65.5,22.0,57.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.119337976237683,6.410138243255461,3.51156161080315,1.9067449963688337
11,3253.0,1,1980-01-24 00:00:00,1980-01-25 00:00:00,24.0,87.9993662824308,185.6845047602974,205.4814438682635,35.75,69.25,18.25,35.875,0,0.0,0.0,0.0,0.0,0.0,0.0,20.64209910377348,17.199174127880017,6.407542866040428,7.490968484844945
12,3281.0,1,1980-01-25 12:00:00,1980-01-25 18:00:00,6.0,52.560642625657216,158.07893145073345,166.58802394478343,34.5,73.5,16.5,43.5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
