,ivt,ivtdir,trackID
0,152.0878597892328,224.91021331187994 degree,2861.0
1,245.0024409639672,220.23760859065467 degree,2861.0
2,108.57629970551012,231.68037841051355 degree,2871.0
3,149.77087931525034,237.0652245325259 degree,2871.0
4,69.22819411348405,270.4320425315212 degree,2975.0
5,272.28263691189653,238.35255709171548 degree,2975.0
6,191.855144925789,238.21083942230604 degree,2988.0
7,83.56968752498157,263.4872290823872 degree,3026.0
8,147.72054800556822,239.33782054715033 degree,3033.0
9,97.34333648259346,296.1117071594455 degree,3033.0
10,76.21462891743438,282.46317475764266 degree,3038.0
11,116.04056500575203,230.50413366400986 degree,3038.0
12,76.0784307099659,227.3018853535805 degree,3065.0
13,47.46926477251343,241.78506602468397 degree,3137.0
14,101.45317228082553,232.9664085188166 degree,3204.0
15,114.06570190186487,202.5035552575598 degree,3223.0
16,205.59645320464247,249.36328996963186 degree,3253.0
17,186.14644165551059,239.90861602748305 degree,3253.0
18,182.91411547104903,204.66874838608607 degree,3281.0
19,195.92355339203638,276.0858156297321 degree,3401.0
20,162.55026290352362,236.04582362864178 degree,3401.0
21,139.75763844492096,234.50997878318378 degree,3401.0
22,137.97359728725573,219.02575830965966 degree,3465.0
23,61.03204772258565,227.22221424167648 degree,3465.0
24,132.36816024445258,231.69766913492586 degree,3486.0
25,112.83349120415633,228.60132315202642 degree,3486.0
26,324.2958653672274,257.76348581339664 degree,3540.0
27,311.48405366964784,235.85804362807733 degree,3540.0
28,51.98590908892495,270.7111760870372 degree,6344.0
29,201.50594699258255,239.79924317723248 degree,6344.0
30,244.6083712508865,271.1366008508976 degree,6431.0
31,140.5529652193181,229.00979141178124 degree,6431.0
32,208.27159615183749,168.63874752711612 degree,6534.0
33,171.1127538713782,251.94196875166728 degree,6618.0
34,240.58399191477423,208.65298437164108 degree,6624.0
35,129.20007054424093,226.35538568887307 degree,6704.0
36,202.17506365818807,259.4747562815623 degree,6718.0
37,164.4991308594591,230.3698701486115 degree,6718.0
