,date,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,ivt,ivtdir,prec,western_low,western_high,northwestern_low,northwestern_high,eastern_low,eastern_high,western_freeze,northwestern_freeze,eastern_freeze
39,1983-03-13,13034.0,1.0,1983-03-13 00:00:00,1983-03-13 18:00:00,18.0,,,,240.9951594376451,267.8042726837835 degree,1.0771484375,-341.7076786069674,,-219.80740184511737,,-228.82577420495386,320.40600128394067,-1,-1,-1
40,1983-03-12,13034.0,2.0,1983-03-12 12:00:00,1983-03-13 00:00:00,12.0,,,,25.557202572128404,238.15281748876797 degree,,-396.3349638716271,,-365.78492591624934,,-85.17152441061216,466.3080398392129,-1,-1,1
41,1983-03-13,13054.0,1.0,1983-03-13 00:00:00,1983-03-13 06:00:00,6.0,,,,155.8244367447259,257.72410851748424 degree,,-341.7076786069674,,-219.80740184511737,,-228.82577420495386,320.40600128394067,-1,-1,-1
42,1983-03-13,13060.0,1.0,1983-03-13 12:00:00,1983-03-13 18:00:00,6.0,,,,240.9951594376451,267.8042726837835 degree,1.0771484375,-341.7076786069674,,-219.80740184511737,,-228.82577420495386,320.40600128394067,-1,-1,-1
43,1983-03-16,13063.0,1.0,1983-03-16 00:00:00,1983-03-16 18:00:00,18.0,,,,163.2669275777728,268.2643060499428 degree,4.0364990234375,-310.92239150448404,,-544.2337959183459,,-340.0147071837634,177.36431544463858,-1,-1,-1
44,1983-03-15,13063.0,2.0,1983-03-15 12:00:00,1983-03-16 00:00:00,12.0,,,,57.529687162723484,258.51739681979564 degree,3.680450439453125,-333.82267400388884,,-583.780592123162,,-262.49079347817315,,-1,-1,-1
45,1983-03-14,13063.0,3.0,1983-03-14 00:00:00,1983-03-14 18:00:00,18.0,,,,535.5546106776154,275.2425707758598 degree,19.9296875,-342.4378977274833,,-302.41207956813344,,-240.35061827234316,,-1,-1,-1
46,1983-03-16,13082.0,1.0,1983-03-16 00:00:00,1983-03-16 18:00:00,18.0,,,,163.2669275777728,268.2643060499428 degree,4.0364990234375,-310.92239150448404,,-544.2337959183459,,-340.0147071837634,177.36431544463858,-1,-1,-1
47,1983-03-15,13082.0,2.0,1983-03-15 18:00:00,1983-03-16 00:00:00,6.0,,,,30.915801086415414,243.49511073710173 degree,,-333.82267400388884,,-583.780592123162,,-262.49079347817315,,-1,-1,-1
48,1983-03-23,13131.0,1.0,1983-03-23 06:00:00,1983-03-26 00:00:00,66.0,,,,568.8399295747116,178.5951956302826 degree,87.59521484375,-535.9912196990928,,-424.93835111795204,,-691.979210746062,,-1,-1,-1
49,1983-04-01,13202.0,1.0,1983-04-01 06:00:00,1983-04-01 12:00:00,6.0,,,,37.2928166308055,299.15002585703934 degree,,-272.49463989059973,,-358.6604720896733,588.184324235513,-337.6021706845127,,-1,-1,-1
50,1983-04-02,13216.0,1.0,1983-04-02 12:00:00,1983-04-03 06:00:00,18.0,,,,172.32259580404985,229.97192646534555 degree,9.5506591796875,-389.2915441456345,,-366.59310575069463,485.8936359353233,-259.5671385413818,171.16422713457268,-1,1,-1
51,1983-04-04,13230.0,1.0,1983-04-04 18:00:00,1983-04-06 18:00:00,48.0,,,,127.78007393393217,272.9813560526071 degree,19.327423095703125,-361.93043769815984,,-408.6191644332789,,-239.36669526482032,,-1,-1,-1
52,1983-04-11,13275.0,1.0,1983-04-11 00:00:00,1983-04-12 18:00:00,42.0,,,,254.68430976186485,153.5222829759871 degree,56.33448791503906,-525.4617466950783,,-612.6681322494322,,-436.3867572828232,,-1,-1,-1
53,1983-04-10,13275.0,2.0,1983-04-10 12:00:00,1983-04-11 00:00:00,12.0,,,,51.421326552706034,243.5819326399438 degree,19.43115234375,-520.0225880886613,,-431.1106014468078,,-311.6899102472363,,-1,-1,-1
54,1983-04-13,13304.0,1.0,1983-04-13 06:00:00,1983-04-13 12:00:00,6.0,,,,182.49018752526382,182.26772774362342 degree,30.66858673095703,-694.3642076091428,,-619.9279448051443,,-495.3473713686387,,-1,-1,-1
55,1983-04-13,13309.0,1.0,1983-04-13 18:00:00,1983-04-14 00:00:00,6.0,,,,200.3422132948422,247.8582156955857 degree,37.60328674316406,-694.3642076091428,,-619.9279448051443,,-495.3473713686387,,-1,-1,-1
56,1983-04-14,13309.0,3.0,1983-04-14 00:00:00,1983-04-14 06:00:00,6.0,,,,601.6853239002953,248.37814685579824 degree,45.91346740722656,-707.472794987982,,-658.7822707726054,,-406.588099508064,,-1,-1,-1
57,1983-05-02,13464.0,1.0,1983-05-02 06:00:00,1983-05-02 12:00:00,6.0,,,,121.0400348607361,262.2200291054256 degree,4.3458251953125,-1186.5229158397967,,-1115.4543271966786,,-417.49377331995544,,-1,-1,-1
58,1983-05-02,13467.0,1.0,1983-05-02 12:00:00,1983-05-03 00:00:00,12.0,,,,121.0400348607361,262.2200291054256 degree,8.071136474609375,-1186.5229158397967,,-1115.4543271966786,,-417.49377331995544,,-1,-1,-1
59,1983-05-02,13470.0,1.0,1983-05-02 18:00:00,1983-05-03 00:00:00,6.0,,,,108.87208020878681,299.3319486750247 degree,4.862091064453125,-1186.5229158397967,,-1115.4543271966786,,-417.49377331995544,,-1,-1,-1
60,1983-05-03,13472.0,1.0,1983-05-03 06:00:00,1983-05-04 00:00:00,18.0,,,,176.96268875831578,233.96720389143454 degree,19.48419189453125,-1232.0030752292864,,-1200.5943916162928,,-383.7026215090006,,-1,-1,-1
61,1983-05-04,13472.0,3.0,1983-05-04 00:00:00,1983-05-04 06:00:00,6.0,,,,323.5326573231308,170.54943403521156 degree,75.8514404296875,-1104.5190777735388,,-1199.550832131792,,-384.7014784495244,,-1,-1,-1
62,1983-05-25,13666.0,1.0,1983-05-25 06:00:00,1983-05-25 12:00:00,6.0,,,,94.60371150939231,300.88616211061435 degree,,-1644.787484010416,,-1462.6132843263265,,-682.4190530747622,377.7697452428434,-1,-1,1
63,1983-05-26,13684.0,1.0,1983-05-26 12:00:00,1983-05-26 18:00:00,6.0,,,,171.86963905661784,289.69800042854433 degree,13.57916259765625,-1631.716798874953,,-1496.165982148275,,-909.788322768013,391.9659763256035,-1,-1,1
64,1984-03-15,16233.0,1.0,1984-03-15 00:00:00,1984-03-18 00:00:00,72.0,,,,535.2726053373977,175.1572318955313 degree,121.871337890625,,512.4624048410955,,441.28391591964277,-107.23596543717224,401.6467476671023,1,1,1
65,1984-03-14,16233.0,2.0,1984-03-14 18:00:00,1984-03-15 00:00:00,6.0,,,,243.66722150344657,235.27353305732058 degree,18.20269775390625,-169.66404353077223,507.39883709077066,,122.14326741837203,-89.08952384255235,345.5314789819235,1,1,1
66,1984-03-30,16353.0,1.0,1984-03-30 12:00:00,1984-04-01 18:00:00,54.0,,,,371.36022434242494,232.23336189378108 degree,,-232.4709681868688,534.8518975506831,-317.4248642067991,,-196.67573325170915,440.7396127682468,1,-1,1
67,1984-05-10,16669.0,1.0,1984-05-10 12:00:00,1984-05-10 18:00:00,6.0,,,,144.21729434293223,260.4006989852508 degree,17.40753173828125,-1484.5791083381491,,-1320.047486679719,,-390.3212868476375,,-1,-1,-1
68,1985-03-04,19211.0,1.0,1985-03-04 00:00:00,1985-03-05 00:00:00,24.0,,,,289.7117877825415,238.45831535995123 degree,21.531982421875,-154.01980319466793,635.1571448183308,-1044.3961667781641,,-108.29281867895936,591.4831783532217,1,-1,1
69,1985-03-03,19211.0,2.0,1985-03-03 12:00:00,1985-03-04 00:00:00,12.0,,,,194.80844282058288,223.727069931344 degree,11.864501953125,-354.0405449184891,592.1328873525632,-572.6859227830488,,-126.36277658869585,637.4628732968052,1,-1,1
70,1985-03-08,19250.0,1.0,1985-03-08 00:00:00,1985-03-08 18:00:00,18.0,,,,296.9959796510708,247.9197116265177 degree,9.9853515625,-227.60413084182133,,-403.60343876628724,,-124.81613003185544,542.8598257104331,-1,-1,1
71,1985-03-07,19250.0,2.0,1985-03-07 06:00:00,1985-03-08 00:00:00,18.0,,,,84.21831889567727,217.5035354747268 degree,,-224.789482394151,,-667.5372078095536,,,651.2907633562255,-1,-1,1
72,1985-03-25,19341.0,1.0,1985-03-25 00:00:00,1985-03-26 12:00:00,36.0,,,,348.36858887427246,199.86331581738466 degree,76.164306640625,-176.78045274055702,534.7001469735519,-157.5764711470743,614.6345372361546,-160.8464262512421,359.14250550291234,1,1,1
73,1985-03-22,19341.0,3.0,1985-03-22 00:00:00,1985-03-25 00:00:00,72.0,,,,530.369337744744,224.02621541941008 degree,73.5849609375,-144.3289400799028,512.5427830477275,-134.0288936030039,544.5487031730759,-153.021830259478,232.5840228161303,1,1,1
74,1985-03-25,19376.0,1.0,1985-03-25 12:00:00,1985-03-25 18:00:00,6.0,,,,230.87494654267746,227.3837390601321 degree,25.063720703125,-176.78045274055702,534.7001469735519,-157.5764711470743,614.6345372361546,-160.8464262512421,359.14250550291234,1,1,1
75,1985-03-26,19382.0,1.0,1985-03-26 00:00:00,1985-03-26 18:00:00,18.0,,,,348.36858887427246,199.86331581738466 degree,33.39208984375,-167.20967430453138,585.176435059295,-430.01785005733325,,-125.43511910525903,446.2798446508481,1,-1,1
76,1985-03-30,19413.0,1.0,1985-03-30 18:00:00,1985-03-31 00:00:00,6.0,,,,81.33915030822007,21.602128692460127 degree,6.5107421875,-225.15603719598678,,-339.9112130727947,,-161.36333593314302,448.1174722076041,-1,-1,1
77,1985-03-31,19415.0,1.0,1985-03-31 00:00:00,1985-04-01 00:00:00,24.0,,,,81.33915030822007,21.602128692460127 degree,,-240.61617466194159,409.57090777578105,-296.8411385820733,645.9585987169413,-165.93231794605683,496.73760006109075,1,1,1
78,1985-04-01,19415.0,3.0,1985-04-01 00:00:00,1985-04-01 18:00:00,18.0,,,,605.9236684617981,272.7125912012751 degree,,-277.66752826469224,351.8802523867322,-252.70682065466406,668.9371254329799,-213.36329677774748,266.14058955533585,-1,1,1
79,1985-04-07,19477.0,1.0,1985-04-07 12:00:00,1985-04-07 18:00:00,6.0,,,,317.6986287870745,244.49821277748433 degree,16.42615509033203,-427.18668670742835,,-396.52116786337695,,-406.49977152611547,,-1,-1,-1
80,1985-04-11,19496.0,1.0,1985-04-11 00:00:00,1985-04-11 12:00:00,12.0,,,,178.79806555582502,245.775038901549 degree,7.9579620361328125,-579.067663450584,,-605.090220171053,,-283.38608721095244,429.9516240092667,-1,-1,1
81,1985-04-09,19496.0,3.0,1985-04-09 06:00:00,1985-04-09 12:00:00,6.0,,,,408.4947574721331,247.1089035278406 degree,40.716182708740234,-457.34463264207477,,-552.673009287325,,-350.6905390188991,191.82325816768184,-1,-1,-1
82,1985-04-11,19510.0,1.0,1985-04-11 00:00:00,1985-04-11 18:00:00,18.0,,,,180.0883235043671,272.453749263692 degree,12.34228515625,-579.067663450584,,-605.090220171053,,-283.38608721095244,429.9516240092667,-1,-1,1
83,1985-04-10,19510.0,3.0,1985-04-10 18:00:00,1985-04-11 00:00:00,6.0,,,,859.0944507812649,242.01168313250233 degree,267.20867919921875,-532.8635186886484,,-553.052411950037,,-249.10647921558632,193.33983315345907,-1,-1,-1
84,1985-04-11,19519.0,1.0,1985-04-11 18:00:00,1985-04-12 00:00:00,6.0,,,,180.0883235043671,272.453749263692 degree,6.92205810546875,-579.067663450584,,-605.090220171053,,-283.38608721095244,429.9516240092667,-1,-1,1
85,1985-04-16,19552.0,1.0,1985-04-16 12:00:00,1985-04-17 12:00:00,24.0,,,,88.73841982173592,318.78320879975286 degree,2.24273681640625,-690.927723840416,474.20343892364764,-702.9589545275678,530.0407641680183,-336.5016815693264,,1,-1,-1
86,1985-05-06,19706.0,1.0,1985-05-06 18:00:00,1985-05-09 00:00:00,54.0,,,,516.2248696655348,229.37607757474385 degree,78.07025146484375,-1317.7287639138362,,-1222.7669616390494,,-578.3781201147559,,-1,-1,-1
87,1985-05-08,19722.0,1.0,1985-05-08 12:00:00,1985-05-08 18:00:00,6.0,,,,207.44685200056014,245.8613598805832 degree,24.745361328125,-1391.624351902213,364.6615398838992,-1162.9163959601217,,-448.3312271509081,241.8458240349596,-1,-1,-1
88,1985-05-09,19727.0,1.0,1985-05-09 06:00:00,1985-05-09 12:00:00,6.0,,,,138.09642109625446,189.24553013643475 degree,23.66900634765625,-1445.4942670295302,,-987.6510903037607,,-382.8348439865085,184.26419297904323,-1,-1,-1
89,1986-03-03,22161.0,1.0,1986-03-03 00:00:00,1986-03-03 12:00:00,12.0,,,,58.640434017007216,242.57494584602688 degree,,-199.52373258042664,100.90714269724094,-331.05722505828874,374.2848637450388,-662.1013672286549,,-1,-1,-1
90,1986-03-04,22177.0,1.0,1986-03-04 12:00:00,1986-03-04 18:00:00,6.0,,,,113.2530329966832,230.91009876246474 degree,11.5897216796875,-208.30654499490802,123.09643604698385,-286.0972633978699,,-539.3571003578438,,-1,-1,-1
91,1986-03-08,22188.0,1.0,1986-03-08 00:00:00,1986-03-10 18:00:00,66.0,,,,417.15948854456553,178.19876669229285 degree,74.5018310546875,,428.0936813208649,,720.7008726740503,-332.29026056768043,,1,1,-1
92,1986-03-07,22188.0,2.0,1986-03-07 12:00:00,1986-03-08 00:00:00,12.0,,,,30.709507280191797,293.9671586366981 degree,,-226.75342681544225,434.9983358739288,,651.0989170852332,-419.46071888295666,,1,1,-1
93,1986-03-11,22233.0,1.0,1986-03-11 12:00:00,1986-03-14 00:00:00,60.0,,,,423.8342290457063,188.7451963378486 degree,142.4755859375,-288.09266537309344,284.147028508879,-495.8577699507273,,,402.444695504963,-1,-1,1
94,1986-03-14,22233.0,3.0,1986-03-14 00:00:00,1986-03-14 12:00:00,12.0,,,,280.4234655642037,252.90388955789223 degree,27.9169921875,-465.41271153439703,,-1036.1993332743689,,-78.15152018921411,323.4269317845273,-1,-1,1
95,1986-03-16,22268.0,1.0,1986-03-16 00:00:00,1986-03-17 18:00:00,42.0,,,,304.0662345293262,184.7242185500125 degree,60.833984375,-717.4259916288192,,-1463.474350294259,,-179.49584643919934,329.4302816799439,-1,-1,1
96,1986-03-16,22271.0,1.0,1986-03-16 06:00:00,1986-03-16 18:00:00,12.0,,,,274.6863724473766,228.32655559030016 degree,20.270263671875,-717.4259916288192,,-1463.474350294259,,-179.49584643919934,329.4302816799439,-1,-1,1
97,1986-03-20,22304.0,1.0,1986-03-20 06:00:00,1986-03-21 06:00:00,24.0,,,,153.9301465412422,208.90457680216724 degree,30.88330078125,-667.0346695542418,,-634.5312561261143,,-206.91915953789763,391.78805761897866,-1,-1,1
98,1986-03-26,22358.0,1.0,1986-03-26 00:00:00,1986-03-28 00:00:00,48.0,,,,492.72579252746925,212.4514065523851 degree,99.947265625,-495.545569380657,,-750.2346377883499,,-196.66302012640278,269.1536692819444,-1,-1,-1
99,1986-03-25,22358.0,2.0,1986-03-25 12:00:00,1986-03-25 18:00:00,6.0,,,,159.99827122325863,249.77078284109513 degree,8.304443359375,-635.5458196724761,,-967.3749821420477,,-163.69501946620932,350.77385802311784,-1,-1,1
100,1986-04-10,22472.0,1.0,1986-04-10 00:00:00,1986-04-12 06:00:00,54.0,,,,366.97812001538887,270.06955587999647 degree,61.5867919921875,-592.4245469657491,,-578.7094821441809,,-263.72356952148726,181.77731523497005,-1,-1,-1
101,1986-04-28,22629.0,1.0,1986-04-28 00:00:00,1986-04-28 06:00:00,6.0,,,,99.48762072427317,296.9015002730323 degree,5.1103515625,-582.3030696512202,,-648.1262413870834,,-445.1522212252646,,-1,-1,-1
102,1986-04-29,22643.0,1.0,1986-04-29 12:00:00,1986-04-29 18:00:00,6.0,,,,97.85059117693584,243.84564416359834 degree,12.831298828125,-503.724703823727,,-592.1917920196906,,-453.4161075589307,,-1,-1,-1
103,1987-03-14,25365.0,1.0,1987-03-14 06:00:00,1987-03-15 18:00:00,36.0,,,,303.6760955033451,209.60442286935248 degree,69.80126953125,-167.36442305627816,299.1489711113236,,653.5145228125016,-279.3037665357196,171.51891535158302,0,1,-1
104,1987-03-20,25421.0,1.0,1987-03-20 12:00:00,1987-03-20 18:00:00,6.0,,,,107.44010581262437,205.90615526280942 degree,8.2119140625,-322.59995868064914,,-216.7332222696675,,-207.1289808546619,,-1,-1,-1
105,1987-03-21,25429.0,1.0,1987-03-21 12:00:00,1987-03-23 00:00:00,36.0,,,,339.50784033086546,205.18357023804458 degree,77.8740234375,-331.59934967924386,,-437.06609229422725,,-308.5203739127292,,-1,-1,-1
106,1987-03-24,25450.0,1.0,1987-03-24 12:00:00,1987-03-24 18:00:00,6.0,,,,160.35979115024745,245.98358314373465 degree,4.800537109375,-314.34407212943404,,-465.5704698471208,,-176.59923978722261,525.5267374654389,-1,-1,1
107,1987-03-28,25426.0,1.0,1987-03-28 00:00:00,1987-03-29 06:00:00,30.0,,,,236.9851558690871,197.19389593847836 degree,45.209716796875,-208.26139439578193,527.3997961591792,-250.10001326614452,,-154.86421202356289,336.93825134052946,1,-1,1
108,1987-03-27,25426.0,2.0,1987-03-27 00:00:00,1987-03-28 00:00:00,24.0,,,,403.79126549292835,218.4902008399272 degree,34.178466796875,-197.2353272899569,472.42583676827326,-201.48332762990532,463.5893927130498,-133.08456200234835,276.2054638439856,1,-1,1
109,1987-03-30,25473.0,1.0,1987-03-30 06:00:00,1987-04-01 00:00:00,42.0,,,,284.7390338397685,202.07195920862674 degree,33.3826904296875,-221.940582740459,458.3334334432515,-199.5956013266159,379.0911963948604,-169.9763280718629,436.54860017353155,1,-1,1
110,1987-03-31,25496.0,1.0,1987-03-31 18:00:00,1987-04-01 00:00:00,6.0,,,,284.7390338397685,202.07195920862674 degree,8.073974609375,-254.6539325079715,447.4461672433024,-260.52309483102016,585.4940703777492,-200.14437553897912,426.55495403883344,1,1,1
111,1987-04-06,25529.0,1.0,1987-04-06 00:00:00,1987-04-07 18:00:00,42.0,,,,256.89314204001494,256.4384999421991 degree,57.57037353515625,-435.9460530460075,389.6182485511628,-470.637774105779,,-209.8147308906612,145.47291672671267,1,-1,-1
