,trackID,ar_cat,start_date,end_date,duration,ivt,hlat,hlon,tlat,tlon,ivtdir,landslideID,landslide_lat,landslide_lon
33,3719.0,3,1980-03-21 00:00:00,1980-03-21 06:00:00,6.0,252.97321181199285,44.31818181818182,57.68181818181818,18.545454545454547,48.81818181818182,45.487153606316745,,,
34,6344.0,1,1981-01-13 00:00:00,1981-01-13 06:00:00,6.0,210.51038392792074,40.05882352941177,59.38235294117647,21.08823529411765,32.64705882352941,50.71120532492949,,,
35,6344.0,2,1981-01-12 12:00:00,1981-01-13 00:00:00,12.0,210.51038392792074,40.05882352941177,59.38235294117647,21.08823529411765,32.64705882352941,50.71120532492949,,,
36,6431.0,1,1981-01-28 00:00:00,1981-01-28 12:00:00,12.0,211.23254451598498,28.306451612903224,57.53225806451613,14.564516129032258,21.29032258064516,63.751827988373954,,,
37,6431.0,2,1981-01-26 06:00:00,1981-01-28 00:00:00,42.0,211.23254451598498,28.306451612903224,57.53225806451613,14.564516129032258,21.29032258064516,63.751827988373954,,,
38,6534.0,1,1981-02-02 00:00:00,1981-02-03 18:00:00,42.0,262.93582263447087,29.785714285714285,73.28571428571429,23.142857142857142,50.142857142857146,76.22266770318946,,,
39,6618.0,1,1981-02-12 06:00:00,1981-02-13 00:00:00,18.0,206.7512021317676,34.0,68.0,18.5,50.0,69.56270935749086,,,
40,6624.0,1,1981-02-13 06:00:00,1981-02-14 00:00:00,18.0,169.72796136018084,35.0,73.5,20.5,61.0,57.26657070467822,,,
41,6704.0,1,1981-02-22 06:00:00,1981-02-22 18:00:00,12.0,164.62331177636838,35.25,66.0,25.5,57.0,55.74679140122646,,,
42,6718.0,1,1981-02-26 00:00:00,1981-02-26 18:00:00,18.0,220.7776613926168,27.954545454545453,69.4090909090909,22.363636363636363,39.95454545454545,72.06595886196152,,,
43,6718.0,2,1981-02-24 12:00:00,1981-02-26 00:00:00,36.0,220.7776613926168,27.954545454545453,69.4090909090909,22.363636363636363,39.95454545454545,72.06595886196152,,,
44,6760.0,1,1981-03-04 00:00:00,1981-03-04 18:00:00,18.0,211.76817274830373,41.53846153846154,65.76923076923077,23.076923076923077,47.88461538461539,48.2073189137641,,,
45,6760.0,2,1981-03-02 06:00:00,1981-03-04 00:00:00,42.0,211.76817274830373,41.53846153846154,65.76923076923077,23.076923076923077,47.88461538461539,48.2073189137641,,,
46,6783.0,1,1981-03-04 18:00:00,1981-03-05 06:00:00,12.0,193.08380753348888,36.75,71.25,24.75,58.5,60.952135973521216,,,
47,6738.0,1,1981-03-13 00:00:00,1981-03-14 18:00:00,42.0,389.1700332671015,46.13709677419355,197.78225806451613,24.048387096774192,249.41129032258064,64.52851505513091,,,
48,6843.0,1,1981-03-13 12:00:00,1981-03-15 00:00:00,36.0,190.2604360415226,69.125,117.625,39.375,60.125,59.49568128949671,,,
49,6843.0,3,1981-03-15 00:00:00,1981-03-15 18:00:00,18.0,190.2604360415226,69.125,117.625,39.375,60.125,59.49568128949671,,,
50,6871.0,1,1981-03-17 00:00:00,1981-03-17 06:00:00,6.0,340.92266531373934,26.5,114.5,17.0,97.5,64.36499390510573,,,
51,6871.0,3,1981-03-16 18:00:00,1981-03-17 00:00:00,6.0,340.92266531373934,26.5,114.5,17.0,97.5,64.36499390510573,,,
52,6887.0,1,1981-03-18 06:00:00,1981-03-18 12:00:00,6.0,152.71511207720226,49.5,81.0,31.5,67.5,45.66587828372007,,,
53,6934.0,1,1981-03-28 00:00:00,1981-03-28 06:00:00,6.0,207.12825290538828,34.03846153846154,49.96153846153846,14.423076923076923,35.07692307692308,43.09167387941966,,,
54,6934.0,2,1981-03-27 06:00:00,1981-03-28 00:00:00,18.0,207.12825290538828,34.03846153846154,49.96153846153846,14.423076923076923,35.07692307692308,43.09167387941966,,,
55,6958.0,1,1981-03-28 12:00:00,1981-03-28 18:00:00,6.0,191.21197481341693,42.0,73.5,34.5,49.5,61.84976066244684,,,
56,6962.0,1,1981-03-29 00:00:00,1981-03-29 06:00:00,6.0,135.30142878607077,43.5,79.5,40.5,52.5,60.01395302838268,,,
57,6965.0,1,1981-03-29 12:00:00,1981-03-30 00:00:00,12.0,216.03728804812027,32.625,73.875,20.25,58.125,72.52805323059016,,,
58,6965.0,3,1981-03-30 00:00:00,1981-03-30 12:00:00,12.0,216.03728804812027,32.625,73.875,20.25,58.125,72.52805323059016,,,
59,6985.0,1,1981-04-01 12:00:00,1981-04-02 00:00:00,12.0,256.11039546572454,28.5,64.5,18.375,47.625,69.13298790122039,,,
60,6994.0,1,1981-04-02 06:00:00,1981-04-02 12:00:00,6.0,170.78856805986922,40.5,66.0,30.0,64.5,20.868071450911344,,,
61,7205.0,1,1981-04-28 00:00:00,1981-04-28 12:00:00,12.0,167.75743784660892,66.75,123.75,42.75,62.25,71.48036201126786,,,
62,9350.0,1,1981-12-26 12:00:00,1981-12-26 18:00:00,6.0,135.77781674540813,33.0,69.0,27.0,54.0,60.17207592895234,,,
63,9515.0,1,1982-01-17 12:00:00,1982-01-18 12:00:00,24.0,181.5272015200577,47.166666666666664,73.83333333333333,20.5,49.833333333333336,52.18776299298002,,,
64,9605.0,1,1982-01-29 00:00:00,1982-01-30 00:00:00,24.0,243.96602149917518,36.0,69.0,21.3,41.1,68.79379203633786,,,
65,9605.0,3,1982-01-30 00:00:00,1982-01-30 06:00:00,6.0,243.96602149917518,36.0,69.0,21.3,41.1,68.79379203633786,,,
66,9621.0,1,1982-02-02 00:00:00,1982-02-02 12:00:00,12.0,246.31927721999082,34.6875,64.5,20.0625,40.3125,65.4628015018964,,,
67,9621.0,2,1982-02-01 12:00:00,1982-02-02 00:00:00,12.0,246.31927721999082,34.6875,64.5,20.0625,40.3125,65.4628015018964,,,
68,9680.0,1,1982-02-09 00:00:00,1982-02-10 12:00:00,36.0,259.6352870233766,24.23076923076923,75.57692307692308,13.384615384615385,37.15384615384615,65.24703520603808,,,
69,9680.0,2,1982-02-08 06:00:00,1982-02-09 00:00:00,18.0,259.6352870233766,24.23076923076923,75.57692307692308,13.384615384615385,37.15384615384615,65.24703520603808,,,
