,date,trackID,ar_cat,start_date,end_date,duration,ivty,ivtx,ivt,hlat,hlon,tlat,tlon,landslide,landslide_lat,landslide_lon,lightning_northwestern,lightning_western,lightning_eastern,lightning_zagros,northwestern,western,eastern,zagros,NW_low,NW_high,W_low,W_high,E_low,E_high,C_low,C_high,NW_freeze,W_freeze,E_freeze,C_freeze
0,1979-12-02,2861.0,1,1979-12-02 00:00:00,1979-12-02 18:00:00,18.0,84.7158171735839,156.93474440618087,178.3403590924427,54.0,88.95,33.3,54.75,0,0.0,0.0,0.0,0.0,0.0,0.0,33.10818099975586,19.34896850585937,98.04288482666016,,-277.2624658282864,254.5832804026603,-171.72793227298612,410.4745761136333,-556.3591169608467,243.80505276538406,,736.425922713841,1,1,-1,1
1,1979-12-09,2871.0,1,1979-12-09 06:00:00,1979-12-09 18:00:00,12.0,140.45683566838815,255.51568123764045,291.57569522220484,58.85526315789474,137.8421052631579,37.6578947368421,165.78947368421052,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,264.63021027010103,,570.4132854890008,-638.593999951767,186.72320719494292,,509.9440252798837,1,1,-1,1
2,1979-12-16,2975.0,1,1979-12-16 12:00:00,1979-12-17 00:00:00,12.0,123.568144714626,129.1822573464011,178.76560631543907,40.0,64.0,24.0,58.5,0,0.0,0.0,0.0,0.0,0.0,0.0,11.874306678771973,6.085221290588379,40.99748229980469,,,528.5962531471026,-232.33470634584637,151.81240894135863,-659.4950267815865,,-844.268959121292,,1,1,-1,-1
3,1979-12-21,2988.0,1,1979-12-21 00:00:00,1979-12-22 12:00:00,36.0,118.15808747248066,138.4783695446213,182.03733811196835,33.6,56.8,16.6,45.3,0,0.0,0.0,0.0,0.0,0.0,0.0,24.330224990844727,30.647056579589844,36.20997619628906,13.48443603515625,-275.93283773938106,,-308.0199700564619,,-964.3694883435468,,-604.4544514976687,,-1,-1,-1,-1
4,1979-12-24,3026.0,1,1979-12-24 06:00:00,1979-12-24 12:00:00,6.0,95.30228831433914,105.45226039264745,142.13622121003547,28.5,69.0,19.5,49.5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-120.28955528718231,582.8651670595362,-120.64378557428464,568.6420491868881,0,0,1,1
5,1979-12-24,3033.0,1,1979-12-24 18:00:00,1979-12-25 00:00:00,6.0,93.44696315541124,108.00009286829092,142.81580788739126,25.5,83.5,20.5,56.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5508867502212524,18.82661247253418,1.416226506233215,8.670099258422852,,,,,-120.28955528718231,582.8651670595362,-120.64378557428464,568.6420491868881,0,0,1,1
6,1979-12-28,3038.0,1,1979-12-28 00:00:00,1979-12-28 18:00:00,18.0,86.5156949871251,157.5601036604143,179.7502482462424,30.923076923076923,60.80769230769231,16.846153846153847,42.92307692307692,0,0.0,0.0,0.0,0.0,0.0,0.0,6.596806049346924,7.065340518951416,26.775161743164062,2.40712833404541,-317.55771897895215,,-212.68221357542154,,-190.29633825232713,,-270.92536332676946,,-1,-1,-1,-1
7,1979-12-30,3065.0,1,1979-12-30 12:00:00,1979-12-31 00:00:00,12.0,72.85917503368253,255.9771315876779,266.14423022572583,30.5,60.75,22.25,42.25,0,0.0,0.0,0.0,0.0,0.0,0.0,4.049605846405029,46.82966613769531,56.786895751953125,,-571.8131304269721,,-576.2331246972616,,-599.8969833893256,,-684.0247532212769,,-1,-1,-1,-1
8,1980-01-07,3137.0,1,1980-01-07 18:00:00,1980-01-08 00:00:00,6.0,103.53177418698576,110.56697343180404,151.47238652696495,50.85,72.3,37.65,58.2,0,0.0,0.0,0.0,0.0,0.0,0.0,15.73859977722168,6.22897481918335,18.5292911529541,,-169.98570943151867,690.7667079765722,-196.62718936074808,,-520.651607895353,,-245.79669842943008,,1,-1,-1,-1
9,1980-01-15,3204.0,1,1980-01-15 00:00:00,1980-01-15 06:00:00,6.0,54.5394326179022,199.4337948366935,206.75683358294847,31.5,70.5,24.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.602962493896484,18.8829288482666,30.927595138549805,10.915631294250488,-913.2140077596247,,-561.8872984354296,,-478.2572587305549,,-293.1923362682253,,-1,-1,-1,-1
10,1980-01-17,3223.0,1,1980-01-17 18:00:00,1980-01-18 12:00:00,18.0,82.45157512292744,162.1811000331602,181.93672374816927,35.0,65.5,22.0,57.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.634432792663574,23.80389404296875,25.77655601501465,6.782854080200195,-271.70258168615146,,-264.1203752833709,,-212.83764630995915,,,,-1,-1,-1,0
11,1980-01-24,3253.0,1,1980-01-24 00:00:00,1980-01-25 00:00:00,24.0,87.9993662824308,185.6845047602974,205.4814438682635,35.75,69.25,18.25,35.875,0,0.0,0.0,0.0,0.0,0.0,0.0,43.82866668701172,86.25556182861328,37.15230941772461,50.70949172973633,-752.8820812486778,,-192.29397785516684,,-712.1742414234193,,,,-1,-1,-1,0
12,1980-01-25,3281.0,1,1980-01-25 12:00:00,1980-01-25 18:00:00,6.0,52.560642625657216,158.07893145073345,166.58802394478343,34.5,73.5,16.5,43.5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-469.6542662387419,67.00005575168689,-157.39257402642485,115.66998783463805,-245.12144611063044,,0,-1,-1,-1
