,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,ivt,ivtdir,freeze,prec
45,9680.0,2.0,1982-02-08 06:00:00,1982-02-09 00:00:00,18.0,,,,65.06165197961865,232.54811695620072 degree,-719.6723,
46,9719.0,1.0,1982-02-14 12:00:00,1982-02-15 06:00:00,18.0,,,,215.8399214173784,218.292266722612 degree,159.17717,3.68359375
47,9758.0,1.0,1982-02-16 18:00:00,1982-02-18 00:00:00,30.0,,,,98.25543062657208,141.7178851445197 degree,-550.94824,25.2109375
48,9758.0,3.0,1982-02-18 00:00:00,1982-02-19 12:00:00,36.0,,,,329.68896275490073,247.88344745377782 degree,-535.67773,79.486328125
49,9804.0,1.0,1982-02-22 06:00:00,1982-02-22 12:00:00,6.0,,,,41.24745477594808,214.77848755494733 degree,-395.71472,
50,9810.0,1.0,1982-02-25 12:00:00,1982-02-27 06:00:00,42.0,,,,129.58632952486977,265.37094377693404 degree,-41.696075,8.91259765625
51,9810.0,2.0,1982-02-23 18:00:00,1982-02-24 00:00:00,6.0,,,,42.491810337544564,238.4255893041386 degree,-992.74005,2.1165771484375
52,12271.0,1.0,1982-12-07 06:00:00,1982-12-09 12:00:00,54.0,,,,327.00799296037474,236.5474373095512 degree,-412.91904,88.043701171875
53,12302.0,1.0,1982-12-10 18:00:00,1982-12-12 00:00:00,30.0,,,,174.55118305602576,205.1600084037811 degree,438.3114,3.8974609375
54,12590.0,1.0,1983-01-20 12:00:00,1983-01-21 12:00:00,24.0,,,,112.03563420152989,248.7918804260387 degree,749.00305,5.347412109375
55,12616.0,1.0,1983-01-21 18:00:00,1983-01-22 00:00:00,6.0,,,,74.3161002527589,213.1936398633755 degree,631.78174,2.197021484375
56,12631.0,1.0,1983-01-25 00:00:00,1983-01-25 18:00:00,18.0,,,,102.4619301440644,211.97219255957168 degree,257.02264,1.729736328125
57,12631.0,2.0,1983-01-24 12:00:00,1983-01-25 00:00:00,12.0,,,,171.24033932316613,210.4777227292338 degree,665.5611,6.314208984375
58,12649.0,1.0,1983-01-26 12:00:00,1983-01-28 12:00:00,48.0,,,,365.582713368715,163.8257333202032 degree,-583.68097,106.72900390625
59,12779.0,1.0,1983-02-09 12:00:00,1983-02-10 00:00:00,12.0,,,,32.963274567055066,284.84728284826497 degree,-430.56827,2.5802001953125
60,12918.0,1.0,1983-02-28 00:00:00,1983-03-01 00:00:00,24.0,,,,238.8557819051704,221.72011130340255 degree,-134.43906,42.329345703125
61,12918.0,2.0,1983-02-27 00:00:00,1983-02-28 00:00:00,24.0,,,,186.1136687602412,224.72221715821794 degree,-234.5223,17.3089599609375
62,15502.0,1.0,1983-12-12 12:00:00,1983-12-13 06:00:00,18.0,,,,83.83190879683504,221.41205899732773 degree,276.5543,5.8258056640625
63,18574.0,1.0,1984-12-11 06:00:00,1984-12-11 12:00:00,6.0,,,,202.31182510364476,270.39437186130897 degree,203.82286,3.111083984375
64,18606.0,1.0,1984-12-15 00:00:00,1984-12-15 12:00:00,12.0,,,,52.8802128832581,255.19774179529009 degree,-16.602324,3.751708984375
65,18606.0,3.0,1984-12-14 12:00:00,1984-12-15 00:00:00,12.0,,,,350.16417096694164,239.5670666459662 degree,-440.92654,31.3740234375
66,18713.0,1.0,1984-12-29 00:00:00,1984-12-29 18:00:00,18.0,,,,221.88752233696144,230.84954081395367 degree,-376.31873,11.160400390625
67,18713.0,2.0,1984-12-28 06:00:00,1984-12-29 00:00:00,18.0,,,,77.58027907858934,201.20711272514885 degree,-1073.5662,7.816650390625
68,18868.0,1.0,1985-01-17 00:00:00,1985-01-17 06:00:00,6.0,,,,115.34365596100395,277.4899234706837 degree,-37.743244,2.933837890625
69,18875.0,1.0,1985-01-17 12:00:00,1985-01-17 18:00:00,6.0,,,,166.91986149375586,246.70495012519734 degree,-376.06482,11.7322998046875
70,18875.0,3.0,1985-01-19 12:00:00,1985-01-19 18:00:00,6.0,,,,66.81440596013073,249.40506852795863 degree,32.804142,
71,18924.0,1.0,1985-01-24 12:00:00,1985-01-24 18:00:00,6.0,,,,47.24805191599104,239.89802300014824 degree,382.3718,
72,21526.0,1.0,1985-12-05 06:00:00,1985-12-07 00:00:00,42.0,,,,157.7363155626572,194.54396827115184 degree,740.5338,9.4908447265625
73,21526.0,2.0,1985-12-04 06:00:00,1985-12-04 12:00:00,6.0,,,,82.54691160790648,234.17280212448662 degree,459.26138,2.37457275390625
74,21689.0,1.0,1985-12-27 06:00:00,1985-12-27 12:00:00,6.0,,,,81.3231144812002,155.96386782033696 degree,-729.0028,9.9476318359375
75,21687.0,1.0,1985-12-27 18:00:00,1985-12-28 18:00:00,24.0,,,,143.94688104297987,265.21461271285483 degree,-370.88834,5.9207763671875
76,21695.0,1.0,1985-12-28 06:00:00,1985-12-28 18:00:00,12.0,,,,143.94688104297987,265.21461271285483 degree,-267.9371,5.9207763671875
77,21857.0,1.0,1986-01-20 12:00:00,1986-01-22 00:00:00,36.0,,,,66.80509698760018,129.94247224507043 degree,-312.14886,8.1251220703125
78,21932.0,1.0,1986-02-01 18:00:00,1986-02-02 18:00:00,24.0,,,,87.63891918026096,230.90334025867193 degree,24.15502,4.325439453125
79,22075.0,1.0,1986-02-19 06:00:00,1986-02-19 18:00:00,12.0,,,,102.09545974917904,252.35361319030525 degree,-93.47942,1.649169921875
80,22083.0,1.0,1986-02-20 06:00:00,1986-02-20 12:00:00,6.0,,,,218.2540076522762,220.10195578922287 degree,-223.40172,11.075439453125
81,24571.0,1.0,1986-12-06 00:00:00,1986-12-07 00:00:00,24.0,,,,214.61258135433914,259.87597771829326 degree,607.163,36.1728515625
82,24571.0,2.0,1986-12-01 00:00:00,1986-12-06 00:00:00,120.0,,,,260.1397234771402,253.99095749938368 degree,281.06482,110.9559326171875
83,24668.0,1.0,1986-12-11 12:00:00,1986-12-11 18:00:00,6.0,,,,186.55675353316482,171.10584121416704 degree,-386.97894,17.331298828125
84,24738.0,1.0,1986-12-21 00:00:00,1986-12-21 12:00:00,12.0,,,,187.8098034237918,291.81494410691715 degree,-147.84879,11.8575439453125
85,24738.0,2.0,1986-12-20 06:00:00,1986-12-21 00:00:00,18.0,,,,191.49576447199982,216.86360835581394 degree,-49.30182,11.1173095703125
